Haul;scientific_name;Genus;Class;Presence;Total_weight;Total_number
Adr_118;Alosa fallax;Alosa;Actinopterygii;1;610;3
Sard_71;Argentina sphyraena;Argentina;Actinopterygii;1;150;9
Sard_74;Argentina sphyraena;Argentina;Actinopterygii;1;1370;101
Sard_77;Argentina sphyraena;Argentina;Actinopterygii;1;240;18
Tyrr_59;Argentina sphyraena;Argentina;Actinopterygii;1;10;1
Tyrr_83;Argentina sphyraena;Argentina;Actinopterygii;1;230;14
Sard_80;Argyropelecus hemigymnus;Argyropelecus;Actinopterygii;1;5;2
Tyrr_10;Argyropelecus hemigymnus;Argyropelecus;Actinopterygii;1;5;1
Tyrr_83;Argyropelecus hemigymnus;Argyropelecus;Actinopterygii;1;3;2
Adr_110;Arnoglossus laterna;Arnoglossus;Actinopterygii;1;158;23
Adr_115;Arnoglossus laterna;Arnoglossus;Actinopterygii;1;12;2
Adr_118;Arnoglossus laterna;Arnoglossus;Actinopterygii;1;255;25
Adr_89;Arnoglossus laterna;Arnoglossus;Actinopterygii;1;419;52
Tyrr_48;Arnoglossus laterna;Arnoglossus;Actinopterygii;1;10;2
Tyrr_87;Arnoglossus laterna;Arnoglossus;Actinopterygii;1;10;1
Sard_74;Arnoglossus rueppelii;Arnoglossus;Actinopterygii;1;60;2
Sard_75;Arnoglossus rueppelii;Arnoglossus;Actinopterygii;1;20;1
Tyrr_83;Arnoglossus rueppelii;Arnoglossus;Actinopterygii;1;10;2
Adr_110;Arnoglossus thori;Arnoglossus;Actinopterygii;1;500;36
Adr_115;Arnoglossus thori;Arnoglossus;Actinopterygii;1;6;1
Adr_87;Arnoglossus thori;Arnoglossus;Actinopterygii;1;40;8
Adr_118;Blennius ocellaris;Blennius;Actinopterygii;1;29;1
Tyrr_48;Boops boops;Boops;Actinopterygii;1;90;2
Tyrr_59;Boops boops;Boops;Actinopterygii;1;185;4
Tyrr_87;Boops boops;Boops;Actinopterygii;1;10;1
Adr_110;Callionymus maculatus;Callionymus;Actinopterygii;1;4;1
Adr_87;Callionymus maculatus;Callionymus;Actinopterygii;1;26;2
Adr_89;Callionymus maculatus;Callionymus;Actinopterygii;1;6;4
Tyrr_59;Callionymus maculatus;Callionymus;Actinopterygii;1;5;1
Sard_74;Capros aper;Capros;Actinopterygii;1;840;131
Sard_75;Capros aper;Capros;Actinopterygii;1;80;8
Sard_77;Capros aper;Capros;Actinopterygii;1;285;28
Tyrr_59;Capros aper;Capros;Actinopterygii;1;10;4
Tyrr_83;Capros aper;Capros;Actinopterygii;1;145;19
Adr_110;Cepola macrophthalma;Cepola;Actinopterygii;1;88;3
Adr_118;Cepola macrophthalma;Cepola;Actinopterygii;1;1220;108
Adr_89;Cepola macrophthalma;Cepola;Actinopterygii;1;382;28
Tyrr_48;Cepola macrophthalma;Cepola;Actinopterygii;1;5;1
Tyrr_59;Cepola macrophthalma;Cepola;Actinopterygii;1;45;3
Tyrr_87;Cepola macrophthalma;Cepola;Actinopterygii;1;10;1
Sard_80;Chauliodus sloani;Chauliodus;Actinopterygii;1;40;1
Sard_72;Chelidonichthys cuculus;Chelidonichthys;Actinopterygii;1;175;2
Sard_74;Chelidonichthys cuculus;Chelidonichthys;Actinopterygii;1;1275;14
Adr_110;Chelidonichthys cuculus;Chelidonichthys;Actinopterygii;1;12;1
Adr_110;Chelidonichthys lucerna;Chelidonichthys;Actinopterygii;1;98;1
Adr_115;Chelidonichthys lucerna;Chelidonichthys;Actinopterygii;1;69;1
Adr_89;Chelidonichthys lucerna;Chelidonichthys;Actinopterygii;1;640;10
Tyrr_10;Chimaera monstrosa;Chimaera;Chondrichthyes;1;165;1
Tyrr_71;Chimaera monstrosa;Chimaera;Chondrichthyes;1;736;2
Sard_77;Chlorophthalmus agassizi;Chlorophthalmus;Actinopterygii;1;120;15
Sard_84;Chlorophthalmus agassizi;Chlorophthalmus;Actinopterygii;1;15;1
Sard_71;Citharus linguatula;Citharus;Actinopterygii;1;45;1
Sard_73;Citharus linguatula;Citharus;Actinopterygii;1;90;4
Adr_110;Citharus linguatula;Citharus;Actinopterygii;1;10;1
Adr_87;Citharus linguatula;Citharus;Actinopterygii;1;122;4
Adr_89;Citharus linguatula;Citharus;Actinopterygii;1;44;6
Tyrr_48;Citharus linguatula;Citharus;Actinopterygii;1;5;1
Sard_84;Coelorinchus caelorhincus;Coelorinchus;Actinopterygii;1;65;3
Tyrr_10;Coelorinchus caelorhincus;Coelorinchus;Actinopterygii;1;85;2
Tyrr_71;Conger conger;Conger;Actinopterygii;1;505;1
Tyrr_87;Conger conger;Conger;Actinopterygii;1;250;2
Sard_70;Dactylopterus volitans;Dactylopterus;Actinopterygii;1;4150;4
Adr_110;Deltentosteus quadrimaculatus;Deltentosteus;Actinopterygii;1;150;35
Adr_115;Deltentosteus quadrimaculatus;Deltentosteus;Actinopterygii;1;2;1
Tyrr_71;Diaphus metopoclampus;Diaphus;Actinopterygii;1;20;3
Sard_70;Diplodus annularis;Diplodus;Actinopterygii;1;500;22
Tyrr_48;Diplodus annularis;Diplodus;Actinopterygii;1;675;18
Tyrr_87;Diplodus annularis;Diplodus;Actinopterygii;1;1365;43
Sard_75;Dipturus oxyrinchus;Dipturus;Chondrichthyes;1;7000;3
Sard_77;Dipturus oxyrinchus;Dipturus;Chondrichthyes;1;65;1
Tyrr_83;Dipturus oxyrinchus;Dipturus;Chondrichthyes;1;1600;1
Adr_110;Engraulis encrasicolus;Engraulis;Actinopterygii;1;1760;186
Adr_115;Engraulis encrasicolus;Engraulis;Actinopterygii;1;13250;2490
Adr_118;Engraulis encrasicolus;Engraulis;Actinopterygii;1;33270;5834
Adr_89;Engraulis encrasicolus;Engraulis;Actinopterygii;1;94;15
Tyrr_48;Engraulis encrasicolus;Engraulis;Actinopterygii;1;550;80
Tyrr_87;Engraulis encrasicolus;Engraulis;Actinopterygii;1;650;70
Tyrr_71;Epigonus denticulatus;Epigonus;Actinopterygii;1;10;1
Sard_84;Epigonus telescopus;Epigonus;Actinopterygii;1;30;3
Sard_80;Etmopterus spinax;Etmopterus;Chondrichthyes;1;1040;12
Sard_84;Etmopterus spinax;Etmopterus;Chondrichthyes;1;50;1
Tyrr_10;Etmopterus spinax;Etmopterus;Chondrichthyes;1;958;12
Tyrr_71;Etmopterus spinax;Etmopterus;Chondrichthyes;1;357;4
Adr_110;Eutrigla gurnardus;Eutrigla;Actinopterygii;1;20;1
Tyrr_59;Eutrigla gurnardus;Eutrigla;Actinopterygii;1;145;10
Sard_75;Gadiculus argenteus;Gadiculus;Actinopterygii;1;240;79
Tyrr_83;Gadiculus argenteus;Gadiculus;Actinopterygii;1;450;61
Adr_89;Gaidropsarus mediterraneus;Gaidropsarus;Actinopterygii;1;46;11
Sard_80;Galeus melastomus;Galeus;Chondrichthyes;1;2500;22
Sard_84;Galeus melastomus;Galeus;Chondrichthyes;1;760;6
Tyrr_10;Galeus melastomus;Galeus;Chondrichthyes;1;1052;9
Tyrr_71;Galeus melastomus;Galeus;Chondrichthyes;1;3920;22
Sard_74;Glossanodon leioglossus;Glossanodon;Actinopterygii;1;3200;667
Sard_75;Glossanodon leioglossus;Glossanodon;Actinopterygii;1;1200;109
Tyrr_59;Glossanodon leioglossus;Glossanodon;Actinopterygii;1;40;4
Adr_110;Gobius niger;Gobius;Actinopterygii;1;58;2
Adr_118;Gobius niger;Gobius;Actinopterygii;1;17;2
Sard_74;Helicolenus dactylopterus;Helicolenus;Actinopterygii;1;170;3
Sard_75;Helicolenus dactylopterus;Helicolenus;Actinopterygii;1;390;25
Sard_77;Helicolenus dactylopterus;Helicolenus;Actinopterygii;1;17;2
Sard_84;Helicolenus dactylopterus;Helicolenus;Actinopterygii;1;575;6
Tyrr_10;Helicolenus dactylopterus;Helicolenus;Actinopterygii;1;5;1
Tyrr_71;Helicolenus dactylopterus;Helicolenus;Actinopterygii;1;870;5
Tyrr_83;Helicolenus dactylopterus;Helicolenus;Actinopterygii;1;640;53
Sard_80;Hoplostethus mediterraneus;Hoplostethus;Actinopterygii;1;60;1
Sard_84;Hoplostethus mediterraneus;Hoplostethus;Actinopterygii;1;305;22
Tyrr_10;Hoplostethus mediterraneus;Hoplostethus;Actinopterygii;1;600;14
Tyrr_71;Hoplostethus mediterraneus;Hoplostethus;Actinopterygii;1;760;9
Sard_80;Hymenocephalus italicus;Hymenocephalus;Actinopterygii;1;700;200
Sard_84;Hymenocephalus italicus;Hymenocephalus;Actinopterygii;1;640;156
Tyrr_10;Hymenocephalus italicus;Hymenocephalus;Actinopterygii;1;460;100
Tyrr_71;Hymenocephalus italicus;Hymenocephalus;Actinopterygii;1;395;90
Sard_80;Lampanyctus crocodilus;Lampanyctus;Actinopterygii;1;540;49
Sard_84;Lampanyctus crocodilus;Lampanyctus;Actinopterygii;1;30;3
Tyrr_10;Lampanyctus crocodilus;Lampanyctus;Actinopterygii;1;315;36
Tyrr_71;Lampanyctus crocodilus;Lampanyctus;Actinopterygii;1;230;21
Sard_84;Lepidopus caudatus;Lepidopus;Actinopterygii;1;165;1
Tyrr_71;Lepidopus caudatus;Lepidopus;Actinopterygii;1;95;1
Tyrr_83;Lepidopus caudatus;Lepidopus;Actinopterygii;1;150;5
Sard_71;Lepidorhombus boscii;Lepidorhombus;Actinopterygii;1;25;1
Sard_75;Lepidorhombus boscii;Lepidorhombus;Actinopterygii;1;50;2
Sard_77;Lepidorhombus boscii;Lepidorhombus;Actinopterygii;1;100;3
Sard_84;Lepidorhombus boscii;Lepidorhombus;Actinopterygii;1;135;4
Tyrr_71;Lepidorhombus boscii;Lepidorhombus;Actinopterygii;1;1000;6
Tyrr_83;Lepidorhombus boscii;Lepidorhombus;Actinopterygii;1;400;5
Sard_74;Lepidorhombus whiffiagonis;Lepidorhombus;Actinopterygii;1;170;2
Sard_75;Lepidorhombus whiffiagonis;Lepidorhombus;Actinopterygii;1;195;2
Sard_77;Lepidorhombus whiffiagonis;Lepidorhombus;Actinopterygii;1;100;2
Tyrr_83;Lepidorhombus whiffiagonis;Lepidorhombus;Actinopterygii;1;20;1
Sard_71;Lepidotrigla cavillone;Lepidotrigla;Actinopterygii;1;25;1
Sard_73;Lepidotrigla cavillone;Lepidotrigla;Actinopterygii;1;20;1
Adr_110;Lepidotrigla cavillone;Lepidotrigla;Actinopterygii;1;24;2
Adr_87;Lepidotrigla cavillone;Lepidotrigla;Actinopterygii;1;96;14
Sard_74;Lepidotrigla dieuzeidei;Lepidotrigla;Actinopterygii;1;16500;1100
Sard_75;Lepidotrigla dieuzeidei;Lepidotrigla;Actinopterygii;1;2300;107
Sard_77;Lepidotrigla dieuzeidei;Lepidotrigla;Actinopterygii;1;240;10
Tyrr_59;Lepidotrigla dieuzeidei;Lepidotrigla;Actinopterygii;1;20;3
Adr_89;Lesueurigobius friesii;Lesueurigobius;Actinopterygii;1;45;22
Sard_74;Lophius budegassa;Lophius;Actinopterygii;1;1330;1
Sard_77;Lophius budegassa;Lophius;Actinopterygii;1;375;1
Adr_87;Lophius budegassa;Lophius;Actinopterygii;1;794;2
Adr_89;Lophius budegassa;Lophius;Actinopterygii;1;2512;7
Tyrr_83;Lophius budegassa;Lophius;Actinopterygii;1;1060;4
Sard_74;Macroramphosus scolopax;Macroramphosus;Actinopterygii;1;1160;322
Tyrr_59;Macroramphosus scolopax;Macroramphosus;Actinopterygii;1;365;178
Tyrr_83;Macroramphosus scolopax;Macroramphosus;Actinopterygii;1;140;12
Tyrr_83;Maurolicus muelleri;Maurolicus;Actinopterygii;1;30;7
Adr_110;Merlangius merlangus;Merlangius;Actinopterygii;1;1090;34
Adr_115;Merlangius merlangus;Merlangius;Actinopterygii;1;1692;55
Adr_118;Merlangius merlangus;Merlangius;Actinopterygii;1;1611;59
Adr_87;Merlangius merlangus;Merlangius;Actinopterygii;1;27;1
Adr_89;Merlangius merlangus;Merlangius;Actinopterygii;1;203;5
Sard_71;Merluccius merluccius;Merluccius;Actinopterygii;1;14800;589
Sard_72;Merluccius merluccius;Merluccius;Actinopterygii;1;85;2
Sard_73;Merluccius merluccius;Merluccius;Actinopterygii;1;590;3
Sard_74;Merluccius merluccius;Merluccius;Actinopterygii;1;15100;652
Sard_75;Merluccius merluccius;Merluccius;Actinopterygii;1;1000;89
Sard_77;Merluccius merluccius;Merluccius;Actinopterygii;1;3500;81
Adr_118;Merluccius merluccius;Merluccius;Actinopterygii;1;149;3
Adr_87;Merluccius merluccius;Merluccius;Actinopterygii;1;202;5
Adr_89;Merluccius merluccius;Merluccius;Actinopterygii;1;5170;116
Tyrr_48;Merluccius merluccius;Merluccius;Actinopterygii;1;1120;58
Tyrr_59;Merluccius merluccius;Merluccius;Actinopterygii;1;2120;146
Tyrr_71;Merluccius merluccius;Merluccius;Actinopterygii;1;1390;1
Tyrr_83;Merluccius merluccius;Merluccius;Actinopterygii;1;7360;543
Tyrr_87;Merluccius merluccius;Merluccius;Actinopterygii;1;867;34
Adr_87;Microchirus variegatus;Microchirus;Actinopterygii;1;122;4
Tyrr_83;Micromesistius poutassou;Micromesistius;Actinopterygii;1;1430;46
Tyrr_83;Molva dypterygia;Molva;Actinopterygii;1;95;3
Sard_69;Mullus barbatus;Mullus;Actinopterygii;1;90;3
Sard_70;Mullus barbatus;Mullus;Actinopterygii;1;33800;1057
Sard_71;Mullus barbatus;Mullus;Actinopterygii;1;640;15
Sard_73;Mullus barbatus;Mullus;Actinopterygii;1;68;1
Sard_74;Mullus barbatus;Mullus;Actinopterygii;1;3300;60
Adr_110;Mullus barbatus;Mullus;Actinopterygii;1;1924;84
Adr_115;Mullus barbatus;Mullus;Actinopterygii;1;14000;720
Adr_118;Mullus barbatus;Mullus;Actinopterygii;1;1079;57
Adr_87;Mullus barbatus;Mullus;Actinopterygii;1;10100;431
Adr_89;Mullus barbatus;Mullus;Actinopterygii;1;859;49
Tyrr_48;Mullus barbatus;Mullus;Actinopterygii;1;5490;153
Tyrr_59;Mullus barbatus;Mullus;Actinopterygii;1;835;21
Tyrr_83;Mullus barbatus;Mullus;Actinopterygii;1;465;6
Tyrr_87;Mullus barbatus;Mullus;Actinopterygii;1;3018;640
Sard_69;Mullus surmuletus;Mullus;Actinopterygii;1;1005;3
Sard_72;Mullus surmuletus;Mullus;Actinopterygii;1;275;5
Sard_73;Mullus surmuletus;Mullus;Actinopterygii;1;260;4
Adr_115;Mustelus mustelus;Mustelus;Chondrichthyes;1;34200;10
Adr_115;Mustelus punctulatus;Mustelus;Chondrichthyes;1;5800;2
Adr_115;Myliobatis aquila;Myliobatis;Chondrichthyes;1;1500;2
Adr_118;Myliobatis aquila;Myliobatis;Chondrichthyes;1;6200;1
Sard_84;Nettastoma melanurum;Nettastoma;Actinopterygii;1;25;1
Tyrr_10;Nettastoma melanurum;Nettastoma;Actinopterygii;1;25;1
Tyrr_71;Nettastoma melanurum;Nettastoma;Actinopterygii;1;110;1
Sard_84;Nezumia sclerorhynchus;Nezumia;Actinopterygii;1;10;1
Tyrr_10;Nezumia sclerorhynchus;Nezumia;Actinopterygii;1;380;33
Tyrr_71;Nezumia sclerorhynchus;Nezumia;Actinopterygii;1;1675;164
Sard_80;Notacanthus bonaparte;Notacanthus;Actinopterygii;1;150;5
Tyrr_10;Notacanthus bonaparte;Notacanthus;Actinopterygii;1;15;1
Tyrr_71;Notacanthus bonaparte;Notacanthus;Actinopterygii;1;30;2
Adr_87;Pagellus acarne;Pagellus;Actinopterygii;1;496;12
Tyrr_48;Pagellus acarne;Pagellus;Actinopterygii;1;10;1
Sard_70;Pagellus bogaraveo;Pagellus;Actinopterygii;1;2060;98
Tyrr_48;Pagellus bogaraveo;Pagellus;Actinopterygii;1;5;1
Tyrr_87;Pagellus bogaraveo;Pagellus;Actinopterygii;1;20;2
Sard_69;Pagellus erythrinus;Pagellus;Actinopterygii;1;1385;16
Sard_70;Pagellus erythrinus;Pagellus;Actinopterygii;1;835;10
Sard_72;Pagellus erythrinus;Pagellus;Actinopterygii;1;445;2
Sard_73;Pagellus erythrinus;Pagellus;Actinopterygii;1;120;1
Adr_110;Pagellus erythrinus;Pagellus;Actinopterygii;1;34;1
Adr_115;Pagellus erythrinus;Pagellus;Actinopterygii;1;36;1
Adr_87;Pagellus erythrinus;Pagellus;Actinopterygii;1;1095;32
Adr_89;Pagellus erythrinus;Pagellus;Actinopterygii;1;28;1
Tyrr_48;Pagellus erythrinus;Pagellus;Actinopterygii;1;1055;22
Tyrr_87;Pagellus erythrinus;Pagellus;Actinopterygii;1;1040;22
Sard_69;Pagrus pagrus;Pagrus;Actinopterygii;1;20;1
Sard_70;Pagrus pagrus;Pagrus;Actinopterygii;1;55;1
Sard_74;Peristedion cataphractum;Peristedion;Actinopterygii;1;25;1
Sard_75;Peristedion cataphractum;Peristedion;Actinopterygii;1;1000;41
Sard_77;Peristedion cataphractum;Peristedion;Actinopterygii;1;770;37
Tyrr_83;Peristedion cataphractum;Peristedion;Actinopterygii;1;45;2
Sard_80;Phycis blennoides;Phycis;Actinopterygii;1;1900;29
Sard_84;Phycis blennoides;Phycis;Actinopterygii;1;2325;25
Tyrr_10;Phycis blennoides;Phycis;Actinopterygii;1;270;5
Tyrr_59;Phycis blennoides;Phycis;Actinopterygii;1;15;1
Tyrr_71;Phycis blennoides;Phycis;Actinopterygii;1;2200;9
Sard_70;Raja asterias;Raja;Chondrichthyes;1;1200;4
Adr_89;Raja asterias;Raja;Chondrichthyes;1;1888;2
Sard_69;Raja brachyura;Raja;Chondrichthyes;1;4330;3
Sard_74;Raja clavata;Raja;Chondrichthyes;1;12250;20
Sard_75;Raja clavata;Raja;Chondrichthyes;1;3610;4
Sard_77;Raja clavata;Raja;Chondrichthyes;1;1300;1
Sard_84;Raja clavata;Raja;Chondrichthyes;1;50;1
Adr_87;Raja clavata;Raja;Chondrichthyes;1;4200;1
Sard_69;Raja miraletus;Raja;Chondrichthyes;1;125;2
Sard_72;Raja miraletus;Raja;Chondrichthyes;1;830;3
Sard_73;Raja miraletus;Raja;Chondrichthyes;1;900;4
Sard_72;Raja polystigma;Raja;Chondrichthyes;1;190;1
Sard_74;Raja polystigma;Raja;Chondrichthyes;1;1000;4
Tyrr_83;Sarda sarda;Sarda;Actinopterygii;1;3100;1
Sard_70;Sardina pilchardus;Sardina;Actinopterygii;1;1600;112
Adr_110;Sardina pilchardus;Sardina;Actinopterygii;1;21814;1202
Adr_115;Sardina pilchardus;Sardina;Actinopterygii;1;3030;375
Adr_118;Sardina pilchardus;Sardina;Actinopterygii;1;39650;2096
Adr_87;Sardina pilchardus;Sardina;Actinopterygii;1;6121;274
Adr_89;Sardina pilchardus;Sardina;Actinopterygii;1;1010;58
Tyrr_48;Sardina pilchardus;Sardina;Actinopterygii;1;6450;910
Tyrr_87;Sardina pilchardus;Sardina;Actinopterygii;1;3300;306
Tyrr_87;Sardinella aurita;Sardinella;Actinopterygii;1;95;2
Adr_110;Scomber colias;Scomber;Actinopterygii;1;56;2
Adr_118;Scomber colias;Scomber;Actinopterygii;1;88;1
Adr_87;Scomber colias;Scomber;Actinopterygii;1;40;1
Adr_89;Scomber colias;Scomber;Actinopterygii;1;55;2
Adr_110;Scomber scombrus;Scomber;Actinopterygii;1;74;1
Adr_89;Scomber scombrus;Scomber;Actinopterygii;1;565;8
Adr_110;Scorpaena notata;Scorpaena;Actinopterygii;1;68;2
Adr_87;Scorpaena notata;Scorpaena;Actinopterygii;1;3410;42
Adr_110;Scorpaena porcus;Scorpaena;Actinopterygii;1;78;1
Adr_87;Scorpaena scrofa;Scorpaena;Actinopterygii;1;1923;7
Sard_71;Scyliorhinus canicula;Scyliorhinus;Chondrichthyes;1;300;1
Sard_73;Scyliorhinus canicula;Scyliorhinus;Chondrichthyes;1;1390;13
Sard_74;Scyliorhinus canicula;Scyliorhinus;Chondrichthyes;1;460;4
Sard_75;Scyliorhinus canicula;Scyliorhinus;Chondrichthyes;1;5000;125
Sard_77;Scyliorhinus canicula;Scyliorhinus;Chondrichthyes;1;1830;34
Adr_118;Scyliorhinus canicula;Scyliorhinus;Chondrichthyes;1;331;1
Adr_87;Scyliorhinus canicula;Scyliorhinus;Chondrichthyes;1;187;2
Tyrr_83;Scyliorhinus canicula;Scyliorhinus;Chondrichthyes;1;871;4
Sard_73;Serranus cabrilla;Serranus;Actinopterygii;1;30;1
Tyrr_87;Serranus cabrilla;Serranus;Actinopterygii;1;45;1
Adr_110;Serranus hepatus;Serranus;Actinopterygii;1;372;25
Adr_118;Serranus hepatus;Serranus;Actinopterygii;1;653;61
Adr_87;Serranus hepatus;Serranus;Actinopterygii;1;440;40
Adr_89;Serranus hepatus;Serranus;Actinopterygii;1;108;10
Tyrr_59;Serranus hepatus;Serranus;Actinopterygii;1;20;1
Tyrr_87;Serranus hepatus;Serranus;Actinopterygii;1;115;13
Adr_110;Solea solea;Solea;Actinopterygii;1;138;1
Sard_69;Spicara flexuosa;Spicara;Actinopterygii;1;325;6
Sard_70;Spicara flexuosa;Spicara;Actinopterygii;1;360;8
Sard_72;Spicara flexuosa;Spicara;Actinopterygii;1;95;2
Adr_115;Spicara flexuosa;Spicara;Actinopterygii;1;23;4
Adr_87;Spicara flexuosa;Spicara;Actinopterygii;1;772;48
Adr_89;Spicara flexuosa;Spicara;Actinopterygii;1;10;1
Tyrr_48;Spicara flexuosa;Spicara;Actinopterygii;1;715;55
Tyrr_59;Spicara flexuosa;Spicara;Actinopterygii;1;200;6
Tyrr_87;Spicara flexuosa;Spicara;Actinopterygii;1;380;27
Adr_87;Spicara smaris;Spicara;Actinopterygii;1;3;1
Tyrr_48;Spicara smaris;Spicara;Actinopterygii;1;10;2
Adr_115;Sprattus sprattus;Sprattus;Actinopterygii;1;16040;1650
Adr_118;Sprattus sprattus;Sprattus;Actinopterygii;1;58800;10360
Adr_89;Sprattus sprattus;Sprattus;Actinopterygii;1;4100;665
Adr_110;Squalus acanthias;Squalus;Chondrichthyes;1;572;1
Adr_118;Squalus acanthias;Squalus;Chondrichthyes;1;6500;19
Adr_87;Squalus acanthias;Squalus;Chondrichthyes;1;544;1
Adr_89;Squalus acanthias;Squalus;Chondrichthyes;1;762;1
Sard_80;Stomias boa;Stomias;Actinopterygii;1;55;2
Tyrr_71;Stomias boa;Stomias;Actinopterygii;1;70;3
Sard_80;Symphurus nigrescens;Symphurus;Actinopterygii;1;20;2
Sard_84;Symphurus nigrescens;Symphurus;Actinopterygii;1;15;6
Tyrr_83;Synchiropus phaeton;Synchiropus;Actinopterygii;1;40;2
Sard_69;Synodus saurus;Synodus;Actinopterygii;1;500;8
Sard_70;Synodus saurus;Synodus;Actinopterygii;1;415;5
Sard_72;Synodus saurus;Synodus;Actinopterygii;1;125;1
Adr_110;Trachinus draco;Trachinus;Actinopterygii;1;1328;21
Adr_87;Trachinus draco;Trachinus;Actinopterygii;1;62;1
Adr_110;Trachurus mediterraneus;Trachurus;Actinopterygii;1;6386;236
Adr_115;Trachurus mediterraneus;Trachurus;Actinopterygii;1;2350;109
Adr_118;Trachurus mediterraneus;Trachurus;Actinopterygii;1;1175;65
Adr_87;Trachurus mediterraneus;Trachurus;Actinopterygii;1;1318;49
Adr_89;Trachurus mediterraneus;Trachurus;Actinopterygii;1;1160;37
Tyrr_48;Trachurus mediterraneus;Trachurus;Actinopterygii;1;830;9
Tyrr_87;Trachurus mediterraneus;Trachurus;Actinopterygii;1;700;69
Sard_70;Trachurus trachurus;Trachurus;Actinopterygii;1;1400;98
Sard_71;Trachurus trachurus;Trachurus;Actinopterygii;1;1500;297
Sard_74;Trachurus trachurus;Trachurus;Actinopterygii;1;700;36
Sard_77;Trachurus trachurus;Trachurus;Actinopterygii;1;1060;7
Adr_110;Trachurus trachurus;Trachurus;Actinopterygii;1;160;8
Adr_118;Trachurus trachurus;Trachurus;Actinopterygii;1;1685;104
Adr_87;Trachurus trachurus;Trachurus;Actinopterygii;1;65;5
Adr_89;Trachurus trachurus;Trachurus;Actinopterygii;1;9080;652
Tyrr_59;Trachurus trachurus;Trachurus;Actinopterygii;1;1100;28
Tyrr_83;Trachurus trachurus;Trachurus;Actinopterygii;1;2500;39
Sard_74;Trigla lyra;Trigla;Actinopterygii;1;400;6
Sard_77;Trigla lyra;Trigla;Actinopterygii;1;5;1
Sard_69;Chelidonichthys lastoviza;Chelidonichthys;Actinopterygii;1;65;1
Sard_72;Chelidonichthys lastoviza;Chelidonichthys;Actinopterygii;1;200;3
Sard_73;Chelidonichthys lastoviza;Chelidonichthys;Actinopterygii;1;40;1
Sard_71;Trisopterus capelanus;Trisopterus;Actinopterygii;1;800;65
Sard_74;Trisopterus capelanus;Trisopterus;Actinopterygii;1;1200;103
Sard_75;Trisopterus capelanus;Trisopterus;Actinopterygii;1;980;82
Sard_77;Trisopterus capelanus;Trisopterus;Actinopterygii;1;250;26
Adr_110;Trisopterus capelanus;Trisopterus;Actinopterygii;1;134;7
Adr_118;Trisopterus capelanus;Trisopterus;Actinopterygii;1;186;9
Adr_87;Trisopterus capelanus;Trisopterus;Actinopterygii;1;612;37
Adr_89;Trisopterus capelanus;Trisopterus;Actinopterygii;1;408;21
Tyrr_59;Trisopterus capelanus;Trisopterus;Actinopterygii;1;1100;144
Tyrr_83;Trisopterus capelanus;Trisopterus;Actinopterygii;1;360;39
Sard_72;Uranoscopus scaber;Uranoscopus;Actinopterygii;1;165;1
Tyrr_83;Uranoscopus scaber;Uranoscopus;Actinopterygii;1;575;3
Sard_69;Zeus faber;Zeus;Actinopterygii;1;385;12
Sard_70;Zeus faber;Zeus;Actinopterygii;1;100;1
Sard_71;Zeus faber;Zeus;Actinopterygii;1;50;1
Sard_72;Zeus faber;Zeus;Actinopterygii;1;80;2
Sard_74;Zeus faber;Zeus;Actinopterygii;1;1760;6
Sard_77;Zeus faber;Zeus;Actinopterygii;1;230;2
Adr_110;Zeus faber;Zeus;Actinopterygii;1;192;1
Adr_87;Zeus faber;Zeus;Actinopterygii;1;980;2
Tyrr_83;Zeus faber;Zeus;Actinopterygii;1;760;3
